"Año";"Periodo";"Deuda del Estado"
"2022";"Marzo";"1.274.330,1"
"2022";"Abril";"1.264.289,37"
"2022";"Mayo";"1.276.172,03"
"2022";"Junio";"1.294.604,88"
"2022";"Julio";"1.307.536,41"
"2022";"Agosto";"1.313.792,48"
"2022";"Septiembre";"1.329.015,53"
"2022";"Octubre";"1.321.843,05"
"2022";"Noviembre";"1.331.596,74"
"2022";"Diciembre";"1.331.105"
;;
;;
"Métrica":"Deuda del Estado"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/deuda-publica-estado/0dcf6ef5-cdfa-494e-b342-ab4a17fe4aff/espana/106"
"Titulo":"Evolución de la deuda pública del Estado"
"Subtitulo":"La deuda pública del Estado se sitúa en 1.331.105 millones de euros "
